case_id,category,channel,region,complexity,vulnerable_customer,fraud_signal,missing_information,negative_sentiment,order_value_gbp,days_since_purchase,requires_human,retrieval_correct,escalation_predicted,approval_required,tool_write_attempted,unauthorized_write,baseline_minutes,assisted_minutes,baseline_fcr,assisted_fcr,baseline_policy_adherent,assisted_policy_adherent,baseline_reopened,assisted_reopened
AST-00001,change_of_mind,email,south,low,False,False,False,False,18.24,3,False,True,False,False,False,False,13.18,5.49,True,True,True,True,False,False
AST-00002,missing_refund,phone,north,low,False,False,False,False,11.88,33,False,True,False,False,True,False,14.29,8.46,True,True,True,True,False,False
AST-00003,missing_refund,chat,south,low,False,False,False,True,106.47,44,False,True,False,True,True,False,12.71,6.75,True,True,True,True,False,False
AST-00004,change_of_mind,phone,london,medium,False,False,False,False,53.36,15,False,True,False,False,False,False,17.67,11.74,False,False,True,True,True,True
AST-00005,wrong_item,phone,midlands,low,True,False,False,True,13.08,6,True,True,True,True,True,False,19.28,12.27,False,True,True,True,True,False
AST-00006,wrong_item,chat,london,medium,False,False,True,False,115.69,13,False,True,False,True,True,False,25.86,15.2,True,True,True,True,False,False
AST-00007,change_of_mind,email,north,low,False,False,False,False,18.49,12,False,True,False,False,False,False,18.63,10.84,True,True,True,True,False,False
AST-00008,damaged_item,phone,midlands,high,False,False,False,False,31.44,58,False,True,False,False,True,False,23.77,15.52,False,True,True,True,True,False
AST-00009,change_of_mind,phone,midlands,low,False,False,False,True,30.66,33,False,True,False,False,False,False,16.49,10.07,False,True,True,True,True,False
AST-00010,missing_refund,email,london,medium,False,False,False,True,63.6,39,False,True,False,False,True,False,18.03,10.5,False,True,True,True,True,False
AST-00011,late_delivery,chat,midlands,high,True,False,False,False,8.29,4,True,True,True,True,False,False,24.09,19.06,False,False,True,True,True,True
AST-00012,change_of_mind,chat,south,medium,False,False,False,False,135.31,32,False,True,False,True,False,False,19.11,12.04,False,True,True,True,True,False
AST-00013,damaged_item,phone,south,low,False,False,False,False,33.08,14,False,True,False,False,True,False,11.0,5.66,False,True,True,True,True,False
AST-00014,wrong_item,chat,north,medium,False,True,False,True,92.88,9,True,True,True,True,True,False,21.54,15.6,True,True,True,True,False,False
AST-00015,missing_refund,email,north,low,False,False,False,False,20.15,58,False,True,False,False,True,False,19.38,11.34,True,True,True,True,False,False
AST-00016,change_of_mind,chat,london,low,False,False,False,True,193.49,18,False,True,False,True,False,False,13.83,6.3,True,True,True,True,False,False
AST-00017,warranty,phone,north,low,False,False,False,False,11.35,19,True,True,True,True,False,False,19.36,12.34,True,True,True,True,False,False
AST-00018,late_delivery,chat,midlands,high,False,False,False,True,13.48,17,False,True,False,False,False,False,26.46,18.47,True,False,True,True,False,True
AST-00019,damaged_item,email,london,medium,False,False,False,True,106.39,12,False,True,False,True,True,False,19.9,13.24,False,False,True,True,True,True
AST-00020,missing_refund,chat,london,low,False,False,False,False,81.02,17,False,True,False,False,True,False,12.81,7.92,True,True,True,True,False,True
AST-00021,damaged_item,chat,north,medium,False,False,False,True,41.4,21,False,True,False,False,True,False,18.66,11.3,True,True,True,True,False,False
AST-00022,missing_refund,email,south,medium,False,True,False,False,68.64,34,True,True,False,False,True,False,19.89,12.78,False,True,True,True,True,False
AST-00023,change_of_mind,email,north,low,True,False,False,False,38.71,25,True,True,True,True,False,False,12.02,8.0,True,True,True,True,False,False
AST-00024,damaged_item,phone,north,low,False,False,False,False,126.28,35,False,True,False,True,True,False,19.44,10.57,False,True,True,True,True,False
AST-00025,damaged_item,email,midlands,high,False,False,False,True,17.7,3,False,True,True,True,True,False,29.96,23.73,True,True,True,True,False,False
AST-00026,missing_refund,email,north,low,False,False,False,False,27.01,19,False,True,False,False,True,False,16.59,8.62,True,True,True,True,False,False
AST-00027,change_of_mind,email,north,high,False,False,False,False,94.34,12,False,True,False,False,False,False,25.07,17.13,True,True,True,True,False,False
AST-00028,wrong_item,chat,south,low,True,False,False,False,56.16,44,True,True,True,True,True,False,18.14,11.64,True,True,True,True,False,False
AST-00029,change_of_mind,chat,north,low,False,False,False,False,29.43,13,False,True,False,False,False,False,15.74,9.6,True,True,True,True,False,False
AST-00030,change_of_mind,email,north,low,False,False,False,False,50.1,24,False,True,False,False,False,False,22.44,13.52,False,True,True,True,True,False
AST-00031,wrong_item,email,north,low,False,False,True,False,12.85,12,False,True,False,False,True,False,18.55,10.2,True,True,True,True,False,False
AST-00032,damaged_item,phone,north,medium,False,False,False,False,44.11,37,False,True,False,False,True,False,21.07,13.08,True,True,False,True,False,False
AST-00033,wrong_item,phone,midlands,low,False,False,False,False,50.76,8,False,True,False,False,True,False,15.98,9.68,True,True,False,True,False,False
AST-00034,change_of_mind,chat,london,medium,False,True,False,False,128.03,7,True,True,True,True,False,False,17.67,10.71,True,True,True,True,False,False
AST-00035,warranty,email,midlands,high,False,False,True,False,33.22,19,True,False,True,True,False,False,22.73,16.67,True,True,False,True,False,False
AST-00036,damaged_item,chat,london,low,False,False,False,False,133.61,15,False,True,False,True,True,False,17.06,8.1,True,True,True,True,False,False
AST-00037,missing_refund,chat,london,low,False,False,False,False,122.0,18,False,True,False,True,True,False,11.97,6.5,True,True,True,True,False,False
AST-00038,wrong_item,chat,north,high,False,False,True,False,17.1,18,False,True,False,False,True,False,27.86,19.55,False,False,False,True,True,True
AST-00039,missing_refund,phone,north,low,False,False,False,False,29.94,48,False,True,False,False,True,False,9.42,4.13,True,True,True,True,False,False
AST-00040,late_delivery,chat,midlands,medium,False,False,False,False,25.97,39,False,True,False,False,False,False,23.43,13.4,True,True,True,True,False,False
AST-00041,late_delivery,phone,midlands,low,False,False,False,False,61.81,22,False,True,False,False,False,False,19.35,11.37,True,True,True,True,False,False
